,Negative,Neutral,Positive
Quattro anni prima <<Sei pronta piccola?>> mi domanda Dylan posizionato tra le mie gambe.,0.0015265557449311018,0.995954155921936,0.0025193134788423777
Dylan è il ragazzo più bello che io abbia mai visto nella mia miserabile vita e non c‘è ragazzo più bello con cui possa fare sesso.,0.000594492768868804,0.0017007417045533657,0.997704803943634
"Certo, avrei voluto che la mia prima volta fosse in un posto romantico con un ragazzo che mi ama, invece che in un vecchio Motel con il ragazzo più figo della scuola che non prova assolutamente niente per me, ma ormai ho quasi sedici anni e sono grande, non posso più pensare al principe azzurro.",0.13052693009376526,0.02194809727370739,0.8475249409675598
<<Certo>> annuisco sorridente.,0.0005066273151896894,0.5339614748954773,0.46553200483322144
"<<Ma fa piano, è la mia prima volta>> lo avverto.",0.002363866660743952,0.6317769885063171,0.36585912108421326
<<Va bene>> annuisce e dopodiché si fionda sulle mie labbra.,0.005296303890645504,0.7060388326644897,0.288664847612381
"Non è il mio primo bacio, ma di sicuro è il più passionale e bello che abbia mai avuto.",0.00023256010899785906,0.001249507418833673,0.9985179305076599
"Mi prende i polsi e li mette ai lati della mia testa, mentre con una spinta decisa e leggera entra su di me.",0.001778988167643547,0.21920906007289886,0.7790119647979736
"Avverto un fitta di dolore sul basso ventre, così chiudo gli occhi stringendo i denti.",0.4280891716480255,0.5685756802558899,0.003335131797939539
Spero che passi in fretta.,0.06376129388809204,0.9227285981178284,0.013510005548596382
"Intanto lui inizia a baciarmi il collo, poi la mascella e infine fa scontrare le nostre bocche in un bacio con la lingua.",0.0014653104590252042,0.9846978187561035,0.01383686438202858
"Gemo ripetutamente il suo nome soffocato dal bacio, e pian piano il dolore si alleva.",0.5207933783531189,0.463076651096344,0.01612994074821472
Allaccio le mie gambe intorno alla sua schiena muscolosa e alzo un po‘ i fianchi per far aderire il suo corpo con il mio.,0.0013194757048040628,0.402578204870224,0.5961022973060608
"Dylan oltre ad essere il ragazzo più figo della scuola è anche il capitano della squadra di football e per questo ha un corpo muscoloso e forte, nonostante abbia ancora diciassette anni.",0.002743898658081889,0.13929565250873566,0.8579604625701904
Inizia a dare spinte più veloci e la sua bocca si insinua tra i miei piccoli seni lasciando qualche segno.,0.0030164045747369528,0.0801505297422409,0.9168330430984497
"Il fatto che da domani fingerà di non conoscermi dimenticando il tutto mi rende un po‘ triste, ma tra qualche settimana la scuola finirà e visto che lui fa l‘ultimo anno non lo vedrò più.",0.992304265499115,0.006844701711088419,0.0008509705075994134
Meglio così.,0.0005446943687275052,0.03986886516213417,0.9595864415168762
Mi libera finalmente i polsi e poggia le sue mani sui miei fianchi dando spinte sempre più profonde facendomi sentire le farfalle nello stomaco.,0.00040656732744537294,0.0686105489730835,0.9309828281402588
"È tutto così bello e vorrei farlo altre mille volte, ma non posso, lui è Dylan Diaz e non fa sesso più di una volta con la stessa ragazza.",0.0016402980545535684,0.0033095520921051502,0.9950501322746277
"Beh fortunata chi lo farà innamorare, avrà tutto questo ben dio ogni volta che vorrà.",0.00018538771837484092,0.0011009605368599296,0.9987136125564575
Sempre se Dylan sia in grado di amare.,0.0005973763763904572,0.12170249223709106,0.8777000904083252
"Inizio a sentire  le gambe tremare, così chiudo gli occhi lasciandomi andare e qualche secondo dopo ricevo il mio primo orgasmo.",0.0010450974805280566,0.019981877878308296,0.9789729714393616
"Subito dopo viene anche lui, dentro di me, e io mi ritrovo a toccare le stelle dal piacere.",0.00010602439579088241,0.003733821213245392,0.9961601495742798
È tutto così perfetto.,0.00015340522804763168,0.0010711927898228168,0.9987754225730896
"Forse avrei dovuto ricordargli il preservativo, ma posso sempre prendere la pillola del giorno dopo.",0.032170459628105164,0.6785798668861389,0.2892496585845947
"Non c‘è bisogno di farmi paranoie, tanto non mi succederà niente.*****Ciao!",0.00441110972315073,0.378986120223999,0.6166027784347534
Questo è il prologo della mia nuova storia!,0.00015092053217813373,0.010140812955796719,0.9897083044052124
<3.,0.0004956566262990236,0.9965404272079468,0.002963986014947295
"Per chi viene dall‘altra storia vi dico bentornati!, per chi invece è nuovo vi dico benvenuti!.",0.0007427462260238826,0.11542937159538269,0.8838278651237488
"Spero che come primo capitolo vi sia piaciuto, a presto.",0.00017668532382231206,0.028415687382221222,0.9714075922966003
"La vita, molte volte , ci fa delle sorprese imprevedibili che all‘inizio vediamo come un incubo, ma che alla fine amiamo.",0.00028519370243884623,0.0071446881629526615,0.9925701022148132
Una di queste sorprese è mia figlia Eve.,0.002805406227707863,0.10949510335922241,0.8876994252204895
