,Negative,Neutral,Positive
"Ho immaginato questo momento da mesi, il momento in cui avrei chiuso, oltre le valigie, una parte della mia vita e sarei partita lasciandomi tutto alle spalle, ed oggi è arrivato finalmente questo giorno.",0.0001421246415702626,0.008742231875658035,0.9911156892776489
"Otto ore e trenta e ricomincerò a vivere, e con un po‘ di fortuna a sorridere.",0.00022425000497605652,0.0038195576053112745,0.9959561228752136
"Otto ore e trenta per un nuovo inizio, nuove persone e nuove scelte.",0.00038460735231637955,0.9461318850517273,0.05348345264792442
Dovrei essere un po‘ malinconica ma in realtà sono un mix di indifferenza e piacere.,0.11306069791316986,0.011006619781255722,0.8759327530860901
"Il viaggio non sarebbe neanche troppo lungo se non dovessi trascorrerlo con mio padre e la sua compagna, nonché quasi madre di suo figlio:",0.015764622017741203,0.9094058871269226,0.07482948154211044
Brianne.,0.0010037897154688835,0.9373903870582581,0.06160585582256317
"Mio padre e Brianne stanno insieme da troppi anni ormai e in tutto questo tempo non ho capito cosa veda in lei, certo è una bella donna, dal fisico slanciato, bionda, occhi verdi, sempre super truccata e in tiro per ogni occasione, ma è una donna altrettanto superficiale e irritante che in quelle rare occasioni in cui sembra dimostrare un briciolo di umanità ti fa ricredere nel giro di qualche secondo.",0.31094881892204285,0.041941773146390915,0.64710932970047
Non so davvero cosa mio padre abbia trovato in lei per preferirla alla mamma.,0.1556921750307083,0.836217999458313,0.008089871145784855
<<Alyssa le cose sono in macchina possiamo partire!>> esclama mio padre dal salone del piano inferiore.,0.0009607605170458555,0.9818457365036011,0.017193632200360298
"<<Arrivo>> Un‘ultima occhiata a quella che finora è stata la mia stanza, e tutti gli anni si trasformano all‘improvviso in un lontano ricordo:",0.000617746904026717,0.32084619998931885,0.678536057472229
"i pianti, le risate, i segreti, le vecchie amicizie, la mamma, Scott..",0.0008941831765696406,0.33588534593582153,0.6632204651832581
chiudo la porta ancora più convinta della mia decisione:,0.0010898507898673415,0.24804601073265076,0.7508641481399536
trasferirmi in un‘altra città per studiare è stata la scelta migliore che potessi fare.,0.00044621003326028585,0.002017933176830411,0.9975358247756958
"Come previsto il viaggio in macchina non sta passando velocemente, Brianne e papà parlano del nome del bambino, ma quando iniziano a parlare di mio fratello Scott e di quanto sono preoccupati semmai loro figlio dovesse assomigliare a lui, smetto di ascoltare.",0.05939854681491852,0.9095841646194458,0.031017281115055084
"Nessuno conosce Scott, nessuno al di fuori di me, nessuno deve azzardarsi a parlare di lui, così per l‘ennesima volta mi sento estremamente in colpa e mi domando se davvero stia facendo la scelta giusta.",0.9827651381492615,0.01610301062464714,0.0011318764882162213
Non posso tornare indietro e non voglio piangere così prendo il mio iPod e ascolto un po‘ di musica addormentandomi poco dopo.,0.9469779133796692,0.0452389195561409,0.0077831074595451355
"Il viaggio passa tra libri, pensieri, domande di mio padre a cui ho risposto solo la verità che vuole sentirsi dire e battutine irritanti di Brianne.",0.006348694674670696,0.9815812110900879,0.012070044875144958
Siamo finalmente arrivati in questa giornata soleggiata e improvvisamente sprofondo nell‘ansia più totale.,0.4248272180557251,0.04579339921474457,0.5293793678283691
"Il campus della Missouri State University è affollato di ragazzi e ragazze, non che non me lo aspettassi, ma ciò che mi preoccupa di più è il fatto che tutti conoscono già un gruppo di persone o qualche amico.",0.001890194253064692,0.35509976744651794,0.6430099606513977
"Sono tutti raggruppati in piccoli cerchi, qualcuno più grande altri più ristretti ma raramente vedo qualche studente passeggiare solo, proprio come sono io.",0.0008592497324571013,0.9774003624916077,0.021740345284342766
<<Sei pronta?>> chiede mio padre.,0.00028056587325409055,0.997817873954773,0.0019015620928257704
<<Sì.>> lo sono?,0.0006220000796020031,0.9962756633758545,0.0031024112831801176
<<Allora andiamo.>> esclama Brianne.,0.0006512224208563566,0.9946216344833374,0.0047271898947656155
