"","frasi","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"0","Mi sveglio di soprassalto per il brusco atterraggio dell‘aereo, l‘impatto con il suolo non è stato di certo dei migliori.",0,0,0,0,0,0,1,0,0,0
"1","Intravedo dal finestrino Miami e ho una sensazione di vuoto nello stomaco, è come se fosse stato messo sottosopra d‘improvviso.",0,0,1,0,0,2,1,0,1,0
"2","Sono emozionata per la mia esperienza nel college dei miei sogni, ma allo stesso tempo ho paura di non essere all‘altezza degli standard di quel posto.",2,2,0,2,0,0,1,0,2,0
"3","Ancora non riesco a credere di essere su un aereo pronta per cominciare una nuova vita, o meglio, quella vita che ho sempre sognato.",0,0,0,0,0,0,0,0,0,1
"4","La mia famiglia, i miei amici e il mio ormai ex fidanzato mi mancheranno di certo, ma sono sicura che questa sia la mia strada.",0,0,0,0,0,0,0,0,0,1
"5","Con il mio bagaglio a mano, mi avvio verso il nastro trasportatore dell‘aereoporto per recuperare le mie valigie.",1,1,0,0,1,0,0,0,0,1
"6","Ho sempre il timore che i miei bagagli possano andar persi ogni volta che viaggio, ma, prima che io possa fasciarmi la testa, riesco a scorgere la mia enorme valigia lilla.",0,2,0,1,1,0,1,0,0,1
"7","Posso tirare un sospiro di sollievo:",0,0,0,0,0,0,0,0,0,2
"8","tutti i miei effetti personali sono ancora con me.",0,0,0,0,0,0,0,0,0,1
"9","Chiamo un taxi e chiedo di portarmi al Miami University College, mi accorgo che le mie mani tremano dall‘emozione mentre chiudo lo sportello.",0,0,0,0,0,0,0,0,0,1
"10","Durante il viaggio ammiro incantata questa nuova città, la mia nuova ""casa"":",0,2,0,1,2,0,1,1,0,2
"11","mi fa strano chiamarla così.",0,0,1,0,0,0,0,0,1,0
"12","Arrivo di fronte a un enorme complesso di edifici bianchi e grandi giardini:",0,2,0,0,0,0,0,0,0,0
"13","questo è il mio college.",0,0,0,0,0,0,0,0,0,0
"14","Mi avvio verso l‘edificio principale e cerco la segreteria.",0,0,0,0,0,0,0,2,0,2
"15","È così grande questo posto, forse dovrei chiedere a qualcuno.",0,0,0,0,0,0,0,0,0,0
"16","Noto un ragazzo moro, con gli occhi verdi, alto, con il naso a dir poco perfetto e la mascella leggermente squadrata.",0,1,2,0,1,0,0,1,2,2
"17","Mi sembra che possa avere la mia età, perciò decido di avvicinarmi per chiedergli informazioni.",0,0,0,0,0,0,0,0,0,1
"18","""Piacere, Melissa.",0,0,0,0,0,0,0,0,0,0
"19","Sono nuova, sai dirmi dove è la segreteria?"" dico cercando di sorridere, non vorrei rischiare di apparire scontrosa.",0,0,0,0,0,0,0,0,0,0
"20","""Piacere, io sono Quinton.",0,0,0,0,0,0,0,0,0,0
"21","Ti accompagno io se vuoi"" risponde il ragazzo, sembra simpatico a primo impatto.",0,0,1,1,1,1,0,1,1,2
"22","Il tipo che ho appena conosciuto mi conduce davanti a un‘ampia sala con, al centro, un grande bancone in legno sul retro del quale ci sono diverse signore in divisa intente a digitare qualcosa sui loro computer.""Non sei di qua, hai uno strano accento"" cerca di fare conversazione Quinton.""Sono Italiana"" rispondo semplicemente.",0,0,2,0,1,0,0,3,2,3
"23","Il ragazzo mi fa segno di accostarmi a una donna alta e bionda, suppongo che sia una delle segretarie.",0,0,1,0,0,0,0,0,1,0
"24","La donna mi chiede il mio nome, poi mi consegna le chiavi del mio nuovo appartamento senza perdere troppo tempo.",2,2,1,1,0,2,1,0,2,1
"25","""Se ti va ti accompagno fin lì, tanto il mio appartamento è nello stesso edificio e nello stesso piano del tuo"" il ragazzo si offre di farmi da guida ancora una volta.""Oh, grazie"" accetto la sua proposta.",0,1,1,0,0,0,0,3,1,4
"26","""Per caso conosci la mia coinquilina?"" chiedo curiosa al mio nuovo amico.""Sì, in realtà nei hai due.",0,0,0,1,1,1,0,1,1,1
"27","Si chiamano Violet e Addison, sono molto simpatiche.",0,0,0,0,0,0,0,0,0,0
"28","Penso che ti troverai bene, di solito sono piuttosto gentili con chiunque"" mi rassicura il ragazzo dagli occhi verdognoli.",0,0,1,0,0,0,0,1,1,1
"29","Arriviamo di fronte a un palazzo bianco di cinque piani con dei grandi balconi, di fronte c‘è un rigoglioso giardino con una piscina e delle palme altissime.",0,1,0,0,2,0,0,1,0,3
"30","È davvero bello questo posto, resto praticamente senza fiato.",0,1,0,0,1,1,1,1,0,2
"31","Entriamo nell‘edificio, prendiamo l‘ascensore e arriviamo al terzo piano in una manciata di secondi.",0,1,0,0,0,0,0,0,0,0
"32","""Hey Quinton, una delle tue conquiste?"" chiede un ragazzo al mio nuovo amico riferendosi palesemente a me.""No Matt, è appena arrivata e le ho fatto strada fin qui"" replica Quinton ridendo.""Piacere, Melissa"" mi presento e mi fermo a osservare Matt.",0,0,1,0,1,0,1,2,2,1
"33","È molto più alto di me, ha le spalle abbastanza larghe, le sue iridi assumono svariate sfumature color ghiaccio e ha i capelli marroni ben pettinati all‘indietro.",0,0,1,0,0,0,0,1,2,1
"34","Sento i suoi occhi addosso che mi squadrano dall‘alto in basso e poi si posano sul mio viso:",0,0,0,0,0,0,0,0,1,0
"35","ci stiamo praticamente studiando a vicenda.",0,0,0,0,0,0,0,0,0,0
"36","""Piacere, Matt"" risponde con un sorriso strafottente.",0,1,0,0,2,0,2,2,0,2
"37","Penso di averlo già identificato, il tipico ragazzo narcisista e che la crede, ma non voglio trarre conclusioni affrettate.",0,0,1,0,0,0,0,0,1,0
"38","Cerco la porta del mio appartamento e busso non appena riesco a trovare lo stesso numero identificativo impresso sulla targhetta delle chiavi.",0,0,0,0,0,0,0,0,0,0
"39","Mi aprono due ragazze che, a prima vista, sembrano molto carine.",0,0,0,0,0,0,0,0,0,0
"40","Una ha i capelli lunghi mossi e castani, gli occhi marroni, è bassina come me e ha un bellissimo sorriso.",0,1,0,0,3,0,2,2,0,3
"41","L‘altra ha i capelli lilla e stirati alla perfezione, gli occhi verdi e la carnagione molto chiara ricoperta da una spruzzata di efelidi chiare.",0,1,0,0,1,0,1,1,0,1
"42","""Ciao io sono Violet"" si presenta la ragazza dai capelli lilla lisci come la seta.""E io sono Addison"" mi sorride l‘altra.""Piacere, Melissa"" stringo la mano a entrambe e mi presento a mia volta.",0,0,0,0,0,0,0,0,0,1
"43","Addison mi porta subito a fare un giro di perlustrazione dell‘appartamento.",0,1,0,0,0,0,1,0,1,1
"44","Appena entrata, la prima sala che incontro è un ampio salotto con un grande divano e una televisione adagiata su un mobiletto in legno, poi attraverso una porta scorrevole si accede a una cucina molto carina e ben arredata.",1,0,0,0,0,1,0,1,1,0
"45","Noto subito la presenza di tre diverse stanze da letto e che ognuna di esse ha il proprio bagno.",0,1,0,0,0,0,1,0,1,4
"46","Finalmente metto piede all‘interno della mia nuova camera da letto, mi soffermo ad osservarne ogni più piccolo dettaglio.",0,0,1,0,0,0,0,1,1,1
"47","""Ti piace eh!"" esclama Addison notando probabilmente l‘espressione dipinta sul mio volto.",0,0,0,0,0,0,0,0,0,0
"48","Le pareti della mia stanza sono rosa chiaro, c‘è un letto a una piazza e mezza in ferro battuto bianco e, di fronte ad esso, è stata posizionata una scrivania bianca in legno con una sedia nello stesso colore.",0,1,0,0,1,0,0,2,0,2
"49","È stato inserito anche un enorme specchio e dei grandi armadi in legno bianco, noto perfino una scarpiera piuttosto capiente.",0,1,0,0,1,0,0,1,0,2
"50","Infine, tramite una porta bianca scorrevole, si accede al bagno.",0,1,1,0,1,0,1,1,0,2
"51","È ampio con il pavimento nero e le pareti bianche a righe rosa, inoltre è dotato di tutti i sanitari occorrenti.""Hai fame?"" mi chiede Violet sopraggiungendo alle mie spalle.",0,0,0,0,0,1,0,0,1,2
"52","Non ho neanche il tempo di rispondere che sentiamo bussare alla porta, anche piuttosto rumorosamente.",0,1,0,0,0,0,0,0,0,0
"53","Addison corre ad aprire lasciando entrare all‘interno dal sole un ragazzo moro con gli occhi scuri e profondi.",0,1,2,0,1,0,1,2,1,2
"54","Noto subito che ha delle fossette che evidenziano il suo bel sorriso, è sempre stata una caratteristica che adoro nei ragazzi.",0,2,0,0,2,0,3,2,1,5
"55","""Noi prendiamo la pizza e la mangiamo in camera, vi va di venire da noi per cena?"" chiede il ragazzo.",0,0,1,0,0,0,0,0,1,1
"56","""Certo, in effetti non abbiamo nulla in frigo.",0,0,0,0,0,0,0,0,0,0
"57","Violet sarebbe stato il tuo turno di fare la spesa"" ride Addison rivolgendosi alla sua amica dai capelli colorati.",0,0,0,0,0,0,0,0,1,0
"58","A questo punto il ragazzo sofferma i suoi occhi scuri su di me, evidentemente non mi aveva ancora notata.",0,0,1,0,0,0,0,0,1,1
"59","""Piacere sono Ryan!",0,0,0,0,0,0,0,0,0,0
"60","Quinton mi ha parlato già di te e del vostro incontro, tu dovresti essere Melissa giusto?"" si presenta subito.",1,1,0,0,0,0,1,0,2,2
"61","""Sì"" annuisco semplicemente, immagino che Ryan sia il coinquilino del ragazzo che ho conosciuto appena un‘ora fa.",0,0,1,0,0,0,0,0,1,0
"62","""Quinton e Matt stanno per ordinare, ci raggiungete fra poco?"" Ryan si rivolge a Addison confermando la mia ipotesi.",0,1,0,0,0,0,1,0,0,0
"63","""Sì, cerco di farmi una mossa"" replica la ragazza mentre si sistema una ciocca dei suoi capelli lunghi dietro all‘orecchio.",0,0,0,0,0,0,0,1,0,0
"64","Deduco perciò che anche Matt, il ragazzo che ho incrociato nel corridoio, abiti assieme a Quinton e Ryan.",0,0,1,0,0,0,0,0,1,0
"65","Sicuramente, passare una serata assieme a tutti loro, mi permetterà di conoscerli meglio e ad ambientarmi un po‘ di più.",0,0,0,0,0,0,0,1,0,0
"66","Mi sarei voluta riposare dopo il viaggio, ma avrò tempo questa notte di recuperare le ore di sonno perse.",0,3,0,1,1,0,1,0,0,1
"67","""Ryan mi ha scritto che si sono aggiunti anche Tyler e Mattia, vado a mettermi qualcosa di carino allora"" grida emozionata Addison.""Addi ha una fissa per Ty, mentre Mattia è un ragazzo metà italiano e metà messicano che abita insieme a lui"" interviene Violet per spiegarmi la strana emozione di Addison.",0,0,1,0,0,0,0,1,1,2
"68","Le ragazze vanno a vestirsi e truccarsi, perciò vado a darmi una sistemata anche io.",0,0,0,0,0,0,0,0,0,0
"69","Indosso una felpa corta bianca con il cappuccio, un paio di jeans a vita alta neri e delle sneakers dello stesso colore.",1,0,1,1,0,0,0,0,1,0
"70","Mi pettino i capelli facendo attenzione a non rovinare le morbide onde che ho realizzato con il ferro prima di partire stamattina, poi mi sposto in bagno per dare una rinfrescata al trucco.",0,1,1,0,0,2,2,1,3,4
